PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,WE_STATUS,MIRO_STATUS,F110_STATUS,TOTAL_VALUE,Delivery_Delay_Days,COST_SAVINGS,DEFECT_RATE,Vendor_Risk
PO-00138,Beta_Supplies,2022-06-13,2022-06-14,Office Supplies,Delivered,697,20.73,19.83,78.0,No,Completed,Verified,Paid,13821.509999999998,1.0,627.3000000000014,0.11190817790530846,High Risk
PO-00139,Epsilon_Group,2023-11-28,2023-12-01,MRO,Delivered,1545,78.19,76.91,42.0,Yes,Completed,Verified,Paid,118825.95,3.0,1977.6000000000017,0.027184466019417475,Low Risk
PO-00140,Gamma_Co,2023-03-09,2023-03-13,MRO,Partially Delivered,1136,60.81,58.25,62.0,Yes,Completed,Pending,Not Paid,66172.0,4.0,2908.1600000000026,0.05457746478873239,Low Risk
PO-00141,Beta_Supplies,2023-09-03,2023-09-07,MRO,Delivered,1212,87.46,74.55,118.0,No,Completed,Verified,Paid,90354.59999999999,4.0,15646.919999999996,0.09735973597359736,Low Risk
PO-00142,Epsilon_Group,2022-03-07,2022-03-12,MRO,Delivered,1572,57.38,49.32,40.0,Yes,Completed,Verified,Paid,77531.04,5.0,12670.320000000003,0.02544529262086514,Low Risk
PO-00143,Gamma_Co,2023-01-30,2023-02-09,Electronics,Delivered,642,91.9,81.49,26.0,Yes,Completed,Verified,Paid,52316.579999999994,10.0,6683.220000000007,0.040498442367601244,Low Risk
PO-00144,Epsilon_Group,2023-01-26,2023-02-04,Office Supplies,Delivered,441,63.25,54.12,16.0,Yes,Completed,Verified,Paid,23866.92,9.0,4026.3300000000013,0.036281179138321996,Low Risk
PO-00145,Epsilon_Group,2023-09-03,2023-09-19,Office Supplies,Delivered,1748,66.53,57.11,,Yes,Completed,Verified,Paid,99828.28,16.0,16466.160000000003,,Low Risk
PO-00146,Gamma_Co,2023-04-25,,Electronics,Pending,468,95.57,91.8,24.0,Yes,Pending,Pending,Not Paid,42962.4,,1764.359999999998,0.05128205128205128,Low Risk
PO-00147,Beta_Supplies,2023-06-26,2023-07-14,Raw Materials,Delivered,338,50.25,46.28,49.0,No,Completed,Verified,Paid,15642.640000000001,18.0,1341.8599999999997,0.14497041420118342,High Risk
PO-00148,Gamma_Co,2022-09-15,2022-09-22,Office Supplies,Delivered,428,22.94,21.52,26.0,Yes,Completed,Verified,Paid,9210.56,7.0,607.7600000000007,0.06074766355140187,Low Risk
PO-00149,Beta_Supplies,2023-07-21,,Packaging,Delivered,1846,13.72,12.62,216.0,Yes,Pending,Verified,Paid,23296.519999999997,,2030.6000000000026,0.11700975081256772,High Risk
PO-00150,Epsilon_Group,2022-01-12,2022-01-17,Office Supplies,Delivered,1563,77.96,70.8,41.0,Yes,Completed,Verified,Paid,110660.4,5.0,11191.079999999994,0.026231605886116442,Low Risk
PO-00151,Beta_Supplies,2023-11-28,2023-12-07,Office Supplies,Delivered,280,73.07,69.29,30.0,Yes,Completed,Verified,Paid,19401.2,9.0,1058.3999999999965,0.10714285714285714,High Risk
PO-00152,Delta_Logistics,2022-04-28,2022-05-12,Raw Materials,Delivered,1067,74.47,64.16,,No,Completed,Verified,Paid,68458.72,14.0,11000.770000000002,,Low Risk
PO-00153,Gamma_Co,2023-11-30,2023-12-17,Electronics,Pending,90,32.38,29.96,7.0,Yes,Completed,Pending,Not Paid,2696.4,17.0,217.80000000000015,0.07777777777777778,Low Risk
PO-00154,Gamma_Co,2023-07-04,2023-07-05,Raw Materials,Delivered,1101,24.28,22.73,59.0,No,Completed,Verified,Paid,25025.73,1.0,1706.5500000000009,0.053587647593097185,Low Risk
PO-00155,Alpha_Inc,2022-10-01,2022-10-11,Raw Materials,Delivered,184,11.82,10.51,4.0,Yes,Completed,Verified,Paid,1933.84,10.0,241.04000000000008,0.021739130434782608,Low Risk
PO-00156,Epsilon_Group,2023-10-19,2023-11-07,Electronics,Delivered,250,45.92,41.02,3.0,Yes,Completed,Verified,Paid,10255.0,19.0,1224.9999999999995,0.012,Low Risk
PO-00157,Epsilon_Group,2022-12-15,,Packaging,Cancelled,1913,66.56,61.34,61.0,Yes,Pending,Pending,Not Paid,117343.42000000001,,9985.859999999997,0.03188708834291688,Low Risk
PO-00158,Beta_Supplies,2022-04-25,2022-04-30,Electronics,Delivered,829,45.98,40.39,,Yes,Completed,Verified,Paid,33483.31,5.0,4634.109999999997,,Low Risk
PO-00159,Delta_Logistics,2022-10-28,2022-11-13,Raw Materials,Delivered,979,51.59,49.69,148.0,Yes,Completed,Verified,Paid,48646.509999999995,16.0,1860.1000000000056,0.1511746680286006,High Risk
PO-00160,Epsilon_Group,2023-03-22,2023-04-09,Electronics,Partially Delivered,1106,97.77,90.45,31.0,Yes,Completed,Pending,Not Paid,100037.7,18.0,8095.919999999993,0.02802893309222423,Low Risk
PO-00161,Delta_Logistics,2022-06-11,2022-06-24,Office Supplies,Pending,1121,42.38,38.34,152.0,Yes,Completed,Pending,Not Paid,42979.14000000001,13.0,4528.839999999999,0.13559322033898305,High Risk
PO-00162,Alpha_Inc,2023-04-10,2023-04-21,Office Supplies,Delivered,552,60.48,56.78,10.0,Yes,Completed,Verified,Paid,31342.56,11.0,2042.3999999999976,0.018115942028985508,Low Risk
PO-00163,Gamma_Co,2022-01-04,2022-01-12,Packaging,Delivered,456,80.53,77.86,26.0,Yes,Completed,Verified,Paid,35504.159999999996,8.0,1217.520000000001,0.05701754385964912,Low Risk
PO-00164,Delta_Logistics,2022-09-27,2022-10-05,Packaging,Delivered,1647,47.52,44.92,,Yes,Completed,Verified,Paid,73983.24,8.0,4282.200000000003,,Low Risk
PO-00165,Epsilon_Group,2023-05-28,2023-06-11,Electronics,Pending,1801,71.27,61.24,43.0,Yes,Completed,Pending,Not Paid,110293.24,14.0,18064.029999999988,0.02387562465297057,Low Risk
PO-00166,Gamma_Co,2022-07-02,2022-07-18,Electronics,Delivered,854,90.24,85.53,,Yes,Completed,Verified,Paid,73042.62,16.0,4022.3399999999947,,Low Risk
PO-00167,Delta_Logistics,2023-06-04,2023-06-17,Electronics,Delivered,148,103.57,98.62,23.0,No,Completed,Verified,Paid,14595.76,13.0,732.5999999999983,0.1554054054054054,High Risk
PO-00168,Delta_Logistics,2022-04-19,2022-04-24,MRO,Delivered,733,23.59,22.85,92.0,Yes,Completed,Verified,Paid,16749.05,5.0,542.4199999999988,0.12551159618008187,High Risk
PO-00169,Beta_Supplies,2023-10-03,2023-10-05,Raw Materials,Delivered,1945,103.2,88.56,,Yes,Completed,Verified,Paid,172249.2,2.0,28474.800000000003,,Low Risk
PO-00170,Gamma_Co,2022-11-02,2022-11-21,Raw Materials,Delivered,775,57.0,49.14,48.0,Yes,Completed,Verified,Paid,38083.5,19.0,6091.5,0.06193548387096774,Low Risk
PO-00171,Delta_Logistics,2023-10-17,2023-10-21,Packaging,Delivered,1620,36.73,33.45,235.0,No,Completed,Verified,Paid,54189.00000000001,4.0,5313.59999999999,0.14506172839506173,High Risk
PO-00172,Beta_Supplies,2023-06-04,2023-06-19,Office Supplies,Delivered,1010,55.68,50.86,,Yes,Completed,Verified,Paid,51368.6,15.0,4868.200000000001,,Low Risk
PO-00173,Epsilon_Group,2023-09-16,2023-10-01,Office Supplies,Delivered,1812,108.02,101.02,51.0,Yes,Completed,Verified,Paid,183048.24,15.0,12684.0,0.028145695364238412,Low Risk
PO-00174,Delta_Logistics,2022-07-23,2022-07-28,Office Supplies,Delivered,662,55.97,50.0,100.0,Yes,Completed,Verified,Paid,33100.0,5.0,3952.1399999999994,0.1510574018126888,High Risk
PO-00175,Beta_Supplies,2022-06-06,2022-06-11,Office Supplies,Pending,1535,40.58,38.71,165.0,Yes,Completed,Pending,Not Paid,59419.85,5.0,2870.449999999996,0.10749185667752444,High Risk
PO-00176,Beta_Supplies,2023-01-18,2023-01-27,Raw Materials,Delivered,692,71.03,67.74,70.0,Yes,Completed,Verified,Paid,46876.079999999994,9.0,2276.6800000000044,0.10115606936416185,High Risk
PO-00177,Gamma_Co,2022-06-15,2022-06-28,MRO,Delivered,1842,32.4,28.08,96.0,Yes,Completed,Verified,Paid,51723.35999999999,13.0,7957.4400000000005,0.05211726384364821,Low Risk
PO-00178,Beta_Supplies,2023-07-07,2023-07-18,Office Supplies,Cancelled,1078,18.34,17.41,102.0,Yes,Completed,Pending,Not Paid,18767.98,11.0,1002.5399999999997,0.09461966604823747,Low Risk
PO-00179,Delta_Logistics,2023-06-28,2023-07-16,Packaging,Delivered,1291,23.44,22.23,,Yes,Completed,Verified,Paid,28698.93,18.0,1562.110000000001,,Low Risk
PO-00180,Alpha_Inc,2022-01-01,2022-01-12,Electronics,Delivered,552,21.52,18.79,13.0,Yes,Completed,Verified,Paid,10372.08,11.0,1506.9600000000003,0.02355072463768116,Low Risk
PO-00181,Epsilon_Group,2023-09-06,2023-09-22,Electronics,Delivered,816,26.04,25.61,28.0,Yes,Completed,Verified,Paid,20897.76,16.0,350.87999999999977,0.03431372549019608,Low Risk
PO-00182,Delta_Logistics,2022-11-28,2022-11-30,Packaging,Delivered,447,23.62,21.81,50.0,Yes,Completed,Verified,Paid,9749.07,2.0,809.0700000000011,0.11185682326621924,High Risk
PO-00183,Delta_Logistics,2023-05-16,2023-05-24,Packaging,Partially Delivered,920,73.09,70.14,,Yes,Completed,Pending,Not Paid,64528.8,8.0,2714.0000000000027,,Low Risk
PO-00184,Epsilon_Group,2022-01-20,2022-01-30,Packaging,Partially Delivered,844,26.37,25.08,38.0,Yes,Completed,Pending,Not Paid,21167.519999999997,10.0,1088.7600000000023,0.045023696682464455,Low Risk
PO-00185,Epsilon_Group,2022-04-25,,MRO,Delivered,442,41.73,36.45,15.0,Yes,Pending,Verified,Paid,16110.900000000001,,2333.7599999999975,0.033936651583710405,Low Risk
PO-00186,Beta_Supplies,2023-01-07,2023-01-21,Electronics,Cancelled,256,96.15,83.44,26.0,Yes,Completed,Pending,Not Paid,21360.64,14.0,3253.760000000002,0.1015625,High Risk
PO-00187,Delta_Logistics,2022-11-11,,MRO,Partially Delivered,1088,55.29,53.04,161.0,No,Pending,Pending,Not Paid,57707.52,,2448.0,0.1479779411764706,High Risk
PO-00188,Beta_Supplies,2022-09-03,2022-09-07,Office Supplies,Delivered,1931,72.88,64.69,187.0,Yes,Completed,Verified,Paid,124916.39,4.0,15814.889999999996,0.09684101501812532,Low Risk
PO-00189,Gamma_Co,2022-03-01,2022-03-11,Electronics,Delivered,1627,25.76,25.09,74.0,Yes,Completed,Verified,Paid,40821.43,10.0,1090.0900000000029,0.04548248309772587,Low Risk
PO-00190,Beta_Supplies,2022-09-04,,Packaging,Delivered,941,28.4,27.21,,No,Pending,Verified,Paid,25604.61,,1119.789999999998,,Low Risk
PO-00191,Gamma_Co,2023-08-04,2023-08-06,MRO,Delivered,1534,14.98,12.79,,Yes,Completed,Verified,Paid,19619.859999999997,2.0,3359.460000000002,,Low Risk
PO-00192,Alpha_Inc,2022-03-22,2022-04-03,Raw Materials,Delivered,1764,25.46,24.52,46.0,Yes,Completed,Verified,Paid,43253.28,12.0,1658.1600000000024,0.026077097505668934,Low Risk
PO-00193,Delta_Logistics,2022-03-29,2022-04-06,Electronics,Delivered,1648,35.42,31.46,,No,Completed,Verified,Paid,51846.08,8.0,6526.080000000002,,Low Risk
PO-00194,Gamma_Co,2023-05-13,2023-06-01,Packaging,Delivered,913,28.01,24.06,53.0,Yes,Completed,Verified,Paid,21966.78,19.0,3606.3500000000026,0.05805038335158817,Low Risk
PO-00195,Alpha_Inc,2022-03-12,2022-03-18,Packaging,Cancelled,792,18.16,17.25,17.0,Yes,Completed,Pending,Not Paid,13662.0,6.0,720.7200000000001,0.021464646464646464,Low Risk
PO-00196,Epsilon_Group,2023-06-30,2023-07-03,Office Supplies,Partially Delivered,1314,22.63,21.06,44.0,Yes,Completed,Pending,Not Paid,27672.839999999997,3.0,2062.9800000000005,0.0334855403348554,Low Risk
PO-00197,Beta_Supplies,2022-05-09,2022-05-22,MRO,Delivered,613,52.5,45.19,70.0,Yes,Completed,Verified,Paid,27701.469999999998,13.0,4481.030000000002,0.11419249592169657,High Risk
PO-00198,Alpha_Inc,2022-05-12,2022-05-20,Office Supplies,Delivered,1070,29.14,26.63,24.0,Yes,Completed,Verified,Paid,28494.1,8.0,2685.7000000000016,0.022429906542056073,Low Risk
PO-00199,Gamma_Co,2023-11-07,2023-11-26,Raw Materials,Partially Delivered,145,47.49,42.76,6.0,Yes,Completed,Pending,Not Paid,6200.2,19.0,685.8500000000006,0.041379310344827586,Low Risk
PO-00200,Delta_Logistics,2023-05-02,2023-05-17,Raw Materials,Delivered,1973,59.73,54.95,291.0,Yes,Completed,Verified,Paid,108416.35,15.0,9430.939999999988,0.14749113025848962,High Risk
PO-00201,Epsilon_Group,2023-07-17,2023-08-01,Office Supplies,Delivered,1807,78.63,73.08,100.0,Yes,Completed,Verified,Paid,132055.56,15.0,10028.849999999995,0.05534034311012728,Low Risk
PO-00202,Epsilon_Group,2022-06-19,2022-06-20,Electronics,Delivered,534,13.88,12.51,100.0,Yes,Completed,Verified,Paid,6680.34,1.0,731.5800000000005,0.18726591760299627,High Risk
PO-00203,Alpha_Inc,2022-09-29,2022-10-14,Electronics,Delivered,1480,85.22,75.48,100.0,Yes,Completed,Verified,Paid,111710.40000000001,15.0,14415.199999999992,0.06756756756756757,Low Risk
PO-00204,Alpha_Inc,2023-06-25,,Office Supplies,Delivered,280,72.16,62.38,100.0,Yes,Pending,Verified,Paid,17466.4,,2738.3999999999983,0.35714285714285715,High Risk
PO-00205,Beta_Supplies,2023-09-14,2023-09-20,Office Supplies,Cancelled,798,19.09,17.76,100.0,Yes,Completed,Pending,Not Paid,14172.480000000001,6.0,1061.3399999999986,0.12531328320802004,High Risk
PO-00206,Epsilon_Group,2023-03-10,2023-03-22,Electronics,Delivered,1728,94.83,90.2,100.0,Yes,Completed,Verified,Paid,155865.6,12.0,8000.639999999992,0.05787037037037037,Low Risk
PO-00207,Epsilon_Group,2022-08-05,,MRO,Delivered,1244,96.13,84.78,43.0,Yes,Pending,Verified,Paid,105466.32,,14119.399999999992,0.03456591639871383,Low Risk
PO-00208,Beta_Supplies,2023-07-07,2023-07-21,Office Supplies,Delivered,590,16.89,15.56,46.0,No,Completed,Verified,Paid,9180.4,14.0,784.7,0.07796610169491526,Low Risk
PO-00209,Delta_Logistics,2023-12-08,2023-12-23,Packaging,Delivered,1109,38.93,33.33,152.0,Yes,Completed,Verified,Paid,36962.97,15.0,6210.4000000000015,0.13706041478809738,High Risk
PO-00210,Beta_Supplies,2022-07-25,2022-08-01,MRO,Delivered,574,85.03,82.55,54.0,Yes,Completed,Verified,Paid,47383.7,7.0,1423.5200000000023,0.09407665505226481,Low Risk
PO-00211,Gamma_Co,2024-01-01,,Office Supplies,Delivered,1233,86.62,76.59,65.0,Yes,Pending,Verified,Paid,94435.47,,12366.990000000002,0.05271695052716951,Low Risk
PO-00212,Gamma_Co,2022-11-16,2022-11-20,Packaging,Delivered,1912,27.94,25.59,83.0,No,Completed,Verified,Paid,48928.08,4.0,4493.200000000003,0.043410041841004186,Low Risk
PO-00213,Alpha_Inc,2023-02-13,2023-03-04,Packaging,Delivered,1772,30.72,27.76,46.0,No,Completed,Verified,Paid,49190.72,19.0,5245.119999999995,0.025959367945823927,Low Risk
PO-00214,Beta_Supplies,2023-11-19,2023-11-29,Office Supplies,Delivered,1316,48.11,41.9,135.0,Yes,Completed,Verified,Paid,55140.4,10.0,8172.3600000000015,0.10258358662613981,High Risk
PO-00215,Beta_Supplies,2023-10-28,,Office Supplies,Delivered,1159,59.24,58.08,,Yes,Pending,Verified,Paid,67314.72,,1344.4400000000044,,Low Risk
PO-00216,Alpha_Inc,2023-01-18,2023-01-31,Office Supplies,Delivered,1869,69.58,67.5,31.0,Yes,Completed,Verified,Paid,126157.5,13.0,3887.519999999997,0.01658640984483681,Low Risk
PO-00217,Delta_Logistics,2023-03-25,2023-04-13,Packaging,Delivered,627,46.23,42.87,,Yes,Completed,Verified,Paid,26879.489999999998,19.0,2106.72,,Low Risk
PO-00218,Beta_Supplies,2023-06-14,2023-06-16,Raw Materials,Pending,731,56.02,54.78,70.0,No,Completed,Pending,Not Paid,40044.18,2.0,906.4400000000014,0.09575923392612859,Low Risk
PO-00219,Epsilon_Group,2023-04-08,,Office Supplies,Cancelled,606,83.07,79.22,16.0,Yes,Pending,Pending,Not Paid,48007.32,,2333.0999999999967,0.026402640264026403,Low Risk
PO-00220,Beta_Supplies,2022-05-04,2022-05-14,Office Supplies,Delivered,1647,13.57,12.33,157.0,Yes,Completed,Verified,Paid,20307.51,10.0,2042.2800000000004,0.09532483302975106,Low Risk
PO-00221,Delta_Logistics,2022-09-11,2022-09-19,MRO,Delivered,1062,34.03,30.46,,Yes,Completed,Verified,Paid,32348.52,8.0,3791.34,,Low Risk
PO-00222,Beta_Supplies,2022-08-19,2022-08-31,Office Supplies,Delivered,695,76.8,69.76,,No,Completed,Verified,Paid,48483.200000000004,12.0,4892.799999999995,,Low Risk
PO-00223,Epsilon_Group,2022-03-07,2022-03-14,MRO,Delivered,845,91.47,86.97,,Yes,Completed,Verified,Paid,73489.65,7.0,3802.5,,Low Risk
PO-00224,Gamma_Co,2022-12-13,2022-12-18,MRO,Delivered,1101,59.13,52.51,54.0,Yes,Completed,Verified,Paid,57813.509999999995,5.0,7288.620000000005,0.04904632152588556,Low Risk
PO-00225,Gamma_Co,2022-01-22,2022-01-24,Raw Materials,Delivered,1693,57.89,49.84,88.0,Yes,Completed,Verified,Paid,84379.12000000001,2.0,13628.649999999996,0.05197873597164796,Low Risk
PO-00226,Delta_Logistics,2023-08-26,2023-09-10,Office Supplies,Cancelled,1629,21.51,19.41,250.0,No,Completed,Pending,Not Paid,31618.89,15.0,3420.9000000000024,0.1534683855125844,High Risk
PO-00227,Delta_Logistics,2023-07-22,2023-08-03,Raw Materials,Delivered,1413,54.79,50.42,,Yes,Completed,Verified,Paid,71243.46,12.0,6174.809999999997,,Low Risk
PO-00228,Epsilon_Group,2022-08-24,2022-08-27,Packaging,Delivered,1871,59.96,58.54,47.0,Yes,Completed,Verified,Paid,109528.34,3.0,2656.8200000000033,0.02512025654730091,Low Risk
PO-00229,Gamma_Co,2023-08-26,,Raw Materials,Delivered,1404,34.85,30.5,78.0,Yes,Pending,Verified,Paid,42822.0,,6107.400000000002,0.05555555555555555,Low Risk
PO-00230,Gamma_Co,2022-08-14,2022-08-28,Electronics,Delivered,1713,35.43,34.11,74.0,Yes,Completed,Verified,Paid,58430.43,14.0,2261.1600000000003,0.04319906596614127,Low Risk
PO-00231,Gamma_Co,2022-01-08,2022-01-13,Electronics,Delivered,1579,43.96,43.41,74.0,Yes,Completed,Verified,Paid,68544.39,5.0,868.4500000000068,0.046865104496516784,Low Risk
PO-00232,Gamma_Co,2022-03-14,2022-03-26,Electronics,Delivered,1421,11.92,11.72,76.0,Yes,Completed,Verified,Paid,16654.120000000003,12.0,284.19999999999897,0.05348346235045742,Low Risk
PO-00233,Epsilon_Group,2023-12-26,2024-01-04,MRO,Delivered,1546,43.47,37.37,53.0,Yes,Completed,Verified,Paid,57774.02,9.0,9430.600000000002,0.03428201811125485,Low Risk
PO-00234,Delta_Logistics,2023-10-09,2023-10-18,Electronics,Delivered,1304,32.08,29.36,,Yes,Completed,Verified,Paid,38285.44,9.0,3546.8799999999983,,Low Risk
PO-00235,Delta_Logistics,2022-03-02,,Raw Materials,Delivered,239,39.87,35.47,32.0,Yes,Pending,Verified,Paid,8477.33,,1051.5999999999997,0.13389121338912133,High Risk
PO-00236,Alpha_Inc,2022-08-23,,Office Supplies,Delivered,1298,21.51,20.83,,Yes,Pending,Verified,Paid,27037.339999999997,,882.6400000000042,,Low Risk
PO-00237,Delta_Logistics,2022-03-11,,MRO,Delivered,1458,91.05,81.56,220.0,Yes,Pending,Verified,Paid,118914.48000000001,,13836.419999999993,0.15089163237311384,High Risk
PO-00238,Gamma_Co,2022-02-02,2022-02-13,MRO,Delivered,1450,63.74,59.11,71.0,Yes,Completed,Verified,Paid,85709.5,11.0,6713.500000000004,0.04896551724137931,Low Risk
PO-00239,Beta_Supplies,2022-12-05,2022-12-20,Electronics,Delivered,1356,75.03,63.86,131.0,Yes,Completed,Verified,Paid,86594.16,15.0,15146.520000000002,0.09660766961651918,Low Risk
PO-00240,Gamma_Co,2022-03-14,,Packaging,Delivered,682,81.84,71.86,40.0,Yes,Pending,Verified,Paid,49008.52,,6806.360000000002,0.05865102639296188,Low Risk
PO-00241,Gamma_Co,2023-06-11,2023-06-19,Packaging,Delivered,677,59.52,55.29,39.0,Yes,Completed,Verified,Paid,37431.33,8.0,2863.7100000000028,0.05760709010339734,Low Risk
PO-00242,Delta_Logistics,2022-09-01,2022-09-14,Office Supplies,Delivered,1022,18.54,16.55,150.0,Yes,Completed,Verified,Paid,16914.100000000002,13.0,2033.7799999999984,0.14677103718199608,High Risk
PO-00243,Alpha_Inc,2022-10-13,,Raw Materials,Delivered,1818,60.96,57.13,41.0,Yes,Pending,Verified,Paid,103862.34000000001,,6962.939999999997,0.022552255225522552,Low Risk
PO-00244,Epsilon_Group,2023-11-17,2023-11-29,Electronics,Delivered,1332,69.73,63.8,41.0,Yes,Completed,Verified,Paid,84981.59999999999,12.0,7898.760000000009,0.03078078078078078,Low Risk
PO-00245,Beta_Supplies,2023-05-13,2023-05-26,Raw Materials,Delivered,1432,83.26,77.67,174.0,Yes,Completed,Verified,Paid,111223.44,13.0,8004.880000000005,0.12150837988826815,High Risk
PO-00246,Beta_Supplies,2022-08-08,2022-08-26,Packaging,Pending,759,50.56,46.47,63.0,No,Completed,Pending,Not Paid,35270.729999999996,18.0,3104.3100000000027,0.08300395256916997,Low Risk
PO-00247,Alpha_Inc,2023-07-07,2023-07-19,Packaging,Delivered,1529,23.42,22.44,30.0,Yes,Completed,Verified,Paid,34310.76,12.0,1498.4200000000008,0.01962066710268149,Low Risk
PO-00248,Gamma_Co,2022-05-16,2022-05-25,Electronics,Delivered,1484,36.25,31.8,61.0,Yes,Completed,Verified,Paid,47191.200000000004,9.0,6603.799999999999,0.04110512129380054,Low Risk
PO-00249,Epsilon_Group,2023-08-08,2023-08-20,Packaging,Delivered,698,46.73,45.61,15.0,Yes,Completed,Verified,Paid,31835.78,12.0,781.7599999999982,0.02148997134670487,Low Risk
PO-00250,Epsilon_Group,2023-08-14,2023-08-22,Packaging,Pending,367,74.61,71.36,13.0,Yes,Completed,Pending,Not Paid,26189.12,8.0,1192.75,0.035422343324250684,Low Risk
PO-00251,Epsilon_Group,2023-04-30,2023-05-20,Office Supplies,Partially Delivered,1750,65.97,58.34,50.0,Yes,Completed,Pending,Not Paid,102095.0,20.0,13352.499999999993,0.02857142857142857,Low Risk
PO-00252,Delta_Logistics,2022-09-06,2022-09-24,Office Supplies,Partially Delivered,1298,43.73,37.21,,No,Completed,Pending,Not Paid,48298.58,18.0,8462.959999999995,,Low Risk
PO-00253,Gamma_Co,2023-04-30,2023-05-20,Packaging,Delivered,1892,106.2,96.37,93.0,Yes,Completed,Verified,Paid,182332.04,20.0,18598.359999999997,0.04915433403805497,Low Risk
PO-00254,Beta_Supplies,2023-02-21,2023-02-24,Electronics,Delivered,1307,68.71,60.64,141.0,Yes,Completed,Verified,Paid,79256.48,3.0,10547.48999999999,0.10788064269319052,High Risk
PO-00255,Beta_Supplies,2022-07-14,2022-07-29,Electronics,Delivered,733,32.29,29.01,78.0,Yes,Completed,Verified,Paid,21264.33,15.0,2404.2399999999984,0.10641200545702592,High Risk
PO-00256,Gamma_Co,2022-04-07,,Packaging,Delivered,713,19.45,18.82,31.0,Yes,Pending,Verified,Paid,13418.66,,449.1899999999993,0.043478260869565216,Low Risk
PO-00257,Beta_Supplies,2022-04-10,2022-04-24,Packaging,Delivered,1900,24.11,23.45,188.0,Yes,Completed,Verified,Paid,44555.0,14.0,1254.0000000000002,0.09894736842105263,Low Risk
PO-00258,Delta_Logistics,2023-11-06,2023-11-08,MRO,Cancelled,1447,35.67,35.07,224.0,No,Completed,Pending,Not Paid,50746.29,2.0,868.2000000000021,0.15480304077401522,High Risk
PO-00259,Epsilon_Group,2023-03-18,,Office Supplies,Delivered,1745,26.17,22.25,55.0,Yes,Pending,Verified,Paid,38826.25,,6840.400000000003,0.03151862464183381,Low Risk
PO-00260,Beta_Supplies,2022-12-29,2023-01-14,Office Supplies,Delivered,1681,28.26,26.62,143.0,Yes,Completed,Verified,Paid,44748.22,16.0,2756.840000000001,0.08506841165972635,Low Risk
PO-00261,Delta_Logistics,2023-03-10,2023-03-18,Electronics,Delivered,1545,38.15,36.96,214.0,Yes,Completed,Verified,Paid,57103.200000000004,8.0,1838.5499999999965,0.13851132686084142,High Risk
PO-00262,Epsilon_Group,2023-02-25,2023-03-02,Raw Materials,Delivered,1306,27.27,25.96,39.0,Yes,Completed,Verified,Paid,33903.76,5.0,1710.8599999999983,0.02986217457886677,Low Risk
PO-00263,Gamma_Co,2023-04-24,2023-05-06,Raw Materials,Delivered,1765,97.51,84.3,65.0,Yes,Completed,Verified,Paid,148789.5,12.0,23315.650000000012,0.036827195467422094,Low Risk
PO-00264,Gamma_Co,2022-02-25,2022-03-15,Packaging,Cancelled,1186,17.31,16.0,64.0,Yes,Completed,Pending,Not Paid,18976.0,18.0,1553.6599999999985,0.05396290050590219,Low Risk
PO-00265,Delta_Logistics,2023-11-21,2023-11-26,Packaging,Delivered,1903,63.5,56.09,254.0,Yes,Completed,Verified,Paid,106739.27,5.0,14101.229999999994,0.13347346295323173,High Risk
PO-00266,Delta_Logistics,2023-11-01,2023-11-05,MRO,Delivered,1570,52.1,47.87,,No,Completed,Verified,Paid,75155.9,4.0,6641.100000000006,,Low Risk
PO-00267,Delta_Logistics,2023-10-24,2023-11-13,MRO,Delivered,491,108.75,93.35,,No,Completed,Verified,Paid,45834.85,20.0,7561.400000000002,,Low Risk
PO-00268,Beta_Supplies,2022-04-11,2022-04-20,Electronics,Partially Delivered,613,20.38,20.17,58.0,Yes,Completed,Pending,Not Paid,12364.210000000001,9.0,128.72999999999834,0.09461663947797716,Low Risk
PO-00269,Gamma_Co,2022-03-04,2022-03-16,Raw Materials,Partially Delivered,1341,46.27,43.94,63.0,Yes,Completed,Pending,Not Paid,58923.53999999999,12.0,3124.530000000007,0.04697986577181208,Low Risk
PO-00270,Beta_Supplies,2023-02-17,2023-03-04,MRO,Partially Delivered,1583,103.57,89.38,164.0,Yes,Completed,Pending,Not Paid,141488.53999999998,15.0,22462.769999999997,0.10360075805432722,High Risk
PO-00271,Beta_Supplies,2022-12-14,,Raw Materials,Cancelled,1880,92.73,90.78,173.0,Yes,Pending,Pending,Not Paid,170666.4,,3666.0000000000055,0.09202127659574467,Low Risk
PO-00272,Epsilon_Group,2022-04-22,2022-04-26,MRO,Delivered,1459,84.79,82.72,47.0,Yes,Completed,Verified,Paid,120688.48,4.0,3020.1300000000106,0.03221384509938314,Low Risk
PO-00273,Delta_Logistics,2022-09-12,,Office Supplies,Delivered,1460,34.54,31.87,208.0,No,Pending,Verified,Paid,46530.200000000004,,3898.199999999997,0.14246575342465753,High Risk
PO-00274,Beta_Supplies,2022-07-16,2022-07-28,Packaging,Partially Delivered,1186,26.14,24.78,112.0,Yes,Completed,Pending,Not Paid,29389.08,12.0,1612.9599999999994,0.09443507588532883,Low Risk
PO-00275,Epsilon_Group,2022-07-14,2022-07-23,MRO,Pending,1686,72.28,65.21,53.0,Yes,Completed,Pending,Not Paid,109944.05999999998,9.0,11920.020000000013,0.03143534994068802,Low Risk
